sing_id,subject,singer,앨범 종류,발매일,장르,스타일,기획사,유통사
89688529,십이월 이십오일의 고백,정승환,싱글,2019.12.05,발라드,발라드,안테나,카카오엔터테인먼트
89613039,Blueming,아이유 (IU),EP(미니),2019.11.18,댄스/팝,발라드,카카오엔터테인먼트,카카오엔터테인먼트
89682091,아마두 (Feat. 우원재 & 김효은 & 넉살 & Huckleberry P),염따 & 딥플로우 & 팔로알토 (Paloalto) & The Quiett & 사이먼 도미닉,싱글,2019.12.03,랩/힙합,랩,"AOMG, 딩고뮤직, Hi-Lite Records, ILLIONAIRE RECORDS, VMC, YUMDDA",Dreamus
89678583,나의 오랜 연인에게,다비치,싱글,2019.12.03,발라드,발라드,WAKEONE,지니뮤직
89602794,Into the Unknown,Idina Menzel & AURORA,싱글,2019.12.13,팝,팝,Sing2Music Productions Pty Ltd,FUGA
89558702,늦은 밤 너의 집 앞 골목길에서,노을,싱글,2019.11.07,발라드,발라드,씨제스엔터테인먼트,카카오엔터테인먼트
89598605,HIP,마마무(Mamamoo),정규,2019.11.14,댄스/팝,댄스 팝,㈜알비더블유,카카오엔터테인먼트
89671315,헤어진 우리가 지켜야 할 것들,김나영 & 양다일,싱글,2019.12.01,발라드,발라드,"네버랜드엔터테인먼트, 브랜뉴뮤직",카카오엔터테인먼트
89530447,Love poem,아이유 (IU),EP(미니),2019.11.18,댄스/팝,발라드,카카오엔터테인먼트,카카오엔터테인먼트
89382909,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),정규,2019.09.25,포크/어쿠스틱,발라드,YG Entertainment,YG PLUS
89320910,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,OST,2019.08.23,인디,인디 팝,"Stone Music Entertainment, 삼화네트웍스","지니뮤직, Stone Music Entertainment"
89602798,Show Yourself,Idina Menzel & Evan Rachel Wood,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89572801,이 번호로 전화해줘,바이브,싱글,2019.11.13,발라드,발라드,메이저나인,지니뮤직
89380047,조금 취했어 (Prod. by 2soo),임재현,싱글,2019.09.24,인디,발라드,"엔에스씨컴퍼니, 디원미디어",카카오엔터테인먼트
89612642,시간의 바깥,아이유 (IU),EP(미니),2019.11.18,댄스/팝,발라드,카카오엔터테인먼트,카카오엔터테인먼트
89655988,Obsession,EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89435292,새 사랑,송하예,싱글,2019.10.12,발라드,발라드,캔버스뮤직,NHN벅스
89058209,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),싱글,2019.06.09,인디,발라드,(주)MAKTUB Company,워너뮤직코리아
89353654,사랑이란 멜로는 없어,전상근,싱글,2019.09.08,발라드,발라드,㈜ 스튜디오 오드리,카카오엔터테인먼트
89296790,안녕,폴킴,OST,2019.08.12,발라드,발라드,냠냠엔터테인먼트,Dreamus
89493648,인기 (Feat. 송가인 & 챈슬러),MC몽,정규,2019.10.25,랩/힙합,랩,(주)밀리언마켓,Dreamus
89682435,"어쩌면, 널 잊을 수 있을까",길구봉구,싱글,2019.12.06,발라드,발라드,더뮤직웍스,지니뮤직
89613037,unlucky,아이유 (IU),EP(미니),2019.11.18,댄스/팝,발라드,카카오엔터테인먼트,카카오엔터테인먼트
89421300,있어줘요,장덕철,싱글,2019.10.09,발라드,발라드,리메즈,카카오엔터테인먼트
89497741,불티 (Spark),태연 (TAEYEON),정규,2019.10.28,댄스/팝,발라드,SM ENTERTAINMENT,Dreamus
89602850,숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),태연 (TAEYEON),OST,2019.11.15,댄스/팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89671631,METEOR,창모 (CHANGMO),정규,2019.11.29,랩/힙합,랩,앰비션뮤직,"지니뮤직, Stone Music Entertainment"
88915147,니 소식,송하예,싱글,2019.05.11,발라드,발라드,캔버스뮤직,NHN벅스
87928158,2002,Anne-Marie,정규,2018.04.27,알앤비/소울,알앤비,Atlantic Records UK,워너뮤직코리아
89690944,With You,Crush,정규,2019.12.05,알앤비/소울,알앤비,피네이션,Dreamus
88729142,시든 꽃에 물을 주듯,HYNN (박혜원),EP(미니),2019.03.31,발라드,발라드,엔터테인먼트뉴오더,카카오엔터테인먼트
87840106,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,OST,2018.03.20,발라드,발라드,SM ENTERTAINMENT,Dreamus
89119858,포장마차,황인욱,싱글,2019.06.20,발라드,발라드,하우엔터테인먼트,카카오엔터테인먼트
89671045,FEVER (Feat. 수퍼비 & BIBI),박진영,싱글,2019.12.01,댄스/팝,댄스 팝,JYP엔터테인먼트,Dreamus
89275179,기억해줘요 내 모든 날과 그때를,거미 (Gummy),OST,2019.08.04,발라드,발라드,냠냠엔터테인먼트,Dreamus
82975165,Santa Tell Me,Ariana Grande,싱글,2014.12.02,팝,팝,Alpha Traxx Music,"HORUS MUSIC, LTD"
88336380,너를 만나,폴킴,싱글,2018.10.29,발라드,발라드,뉴런뮤직,카카오엔터테인먼트
89357134,워커홀릭,볼빨간사춘기,EP(미니),2019.09.10,인디,팝 락,쇼파르뮤직,NHN벅스
88261335,사랑에 연습이 있었다면 (Prod. by 2soo),임재현,싱글,2018.09.25,발라드,발라드,"엔에스씨컴퍼니, 디원미디어",카카오엔터테인먼트
89613038,그 사람,아이유 (IU),EP(미니),2019.11.18,댄스/팝,발라드,카카오엔터테인먼트,카카오엔터테인먼트
88987356,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),싱글,2019.05.27,발라드,발라드,먼데이키즈컴퍼니,카카오엔터테인먼트
88773173,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,EP(미니),2019.04.12,랩/힙합,알앤비,BIGHIT MUSIC,YG PLUS
89602793,Some Things Never Change,Kristen Bell & Idina Menzel & Josh Gad & Jonathan Groff & Cast of Frozen 2,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
89414953,허전해,폴킴,EP(미니),2019.10.07,알앤비/소울,알앤비,뉴런뮤직,카카오엔터테인먼트
89492482,LION,(여자)아이들,컴필레이션,2019.10.25,댄스/팝,댄스 팝,"㈜알비더블유, Stone Music Entertainment",지니뮤직
89339699,다시 만날까 봐,V.O.S,싱글,2019.09.01,발라드,발라드,J-SOUL company,카카오엔터테인먼트
89528874,이별주,황인욱,싱글,2019.11.01,발라드,발라드,하우엔터테인먼트,카카오엔터테인먼트
82146674,All I Want for Christmas Is You,Mariah Carey,싱글,2014.11.17,팝,팝,Belle Hits Music,"HORUS MUSIC, LTD"
88727092,bad guy,Billie Eilish,정규,2019.03.29,팝,얼터너티브 팝,Darkroom/Interscope Records,유니버설뮤직코리아
89349559,가을밤 떠난 너,케이시 (Kassy),EP(미니),2019.09.05,발라드,발라드,넥스타엔터테인먼트,카카오엔터테인먼트
89126578,Senorita,Camila Cabello & Shawn Mendes,정규,2019.07.26,팝,팝,Island Records,유니버설뮤직코리아
89690945,Alone,Crush,정규,2019.12.05,알앤비/소울,알앤비,피네이션,Dreamus
89655989,Trouble,EXO,정규,2019.11.27,댄스/팝,댄스 팝,SM ENTERTAINMENT,Dreamus
89613040,자장가,아이유 (IU),EP(미니),2019.11.18,댄스/팝,발라드,카카오엔터테인먼트,카카오엔터테인먼트
89602792,All Is Found,Evan Rachel Wood,OST,2019.11.15,팝,어드벤처,Walt Disney Records,유니버설뮤직코리아
