date,rank,change,sing_id,subject,singer,rank_out_term,play_in_term,listen_in_term,play_total,listen_total
2019/12/08/11,1,-,89688529,십이월 이십오일의 고백,정승환,0,,,1939149,717398
2019/12/08/12,1,-,89688529,십이월 이십오일의 고백,정승환,1,30490.0,6547.0,1969639,723945
2019/12/08/13,1,-,89688529,십이월 이십오일의 고백,정승환,1,32874.0,7029.0,2002513,730974
2019/12/08/14,1,-,89688529,십이월 이십오일의 고백,정승환,1,34436.0,7139.0,2036949,738113
2019/12/08/15,1,-,89688529,십이월 이십오일의 고백,정승환,1,35033.0,7145.0,2071982,745258
2019/12/08/16,1,-,89688529,십이월 이십오일의 고백,정승환,1,33675.0,6627.0,2105657,751885
2019/12/08/17,1,-,89688529,십이월 이십오일의 고백,정승환,1,33402.0,6282.0,2139059,758167
2019/12/08/18,1,-,89688529,십이월 이십오일의 고백,정승환,1,31845.0,5840.0,2170904,764007
2019/12/08/19,1,-,89688529,십이월 이십오일의 고백,정승환,1,29630.0,5190.0,2200534,769197
2019/12/08/20,1,-,89688529,십이월 이십오일의 고백,정승환,1,28470.0,4871.0,2229004,774068
2019/12/08/21,1,-,89688529,십이월 이십오일의 고백,정승환,1,29420.0,4888.0,2258424,778956
2019/12/08/22,1,-,89688529,십이월 이십오일의 고백,정승환,1,27923.0,4487.0,2286347,783443
2019/12/08/23,1,-,89688529,십이월 이십오일의 고백,정승환,1,25635.0,3897.0,2311982,787340
2019/12/09/0,1,-,89688529,십이월 이십오일의 고백,정승환,1,22299.0,3160.0,2334281,790500
2019/12/09/1,1,-,89688529,십이월 이십오일의 고백,정승환,1,17959.0,2184.0,2352240,792684
2019/12/09/2,1,-,89688529,십이월 이십오일의 고백,정승환,1,13832.0,1586.0,2366072,794270
2019/12/09/3,1,-,89688529,십이월 이십오일의 고백,정승환,1,10352.0,969.0,2376424,795239
2019/12/09/4,1,-,89688529,십이월 이십오일의 고백,정승환,1,8048.0,706.0,2384472,795945
2019/12/09/5,1,-,89688529,십이월 이십오일의 고백,정승환,1,6816.0,522.0,2391288,796467
2019/12/09/6,1,-,89688529,십이월 이십오일의 고백,정승환,1,7540.0,773.0,2398828,797240
2019/12/09/7,1,-,89688529,십이월 이십오일의 고백,정승환,1,14605.0,2358.0,2413433,799598
2019/12/09/8,1,-,89688529,십이월 이십오일의 고백,정승환,1,39464.0,7481.0,2452897,807079
2019/12/09/9,1,-,89688529,십이월 이십오일의 고백,정승환,1,54181.0,10313.0,2507078,817392
2019/12/09/10,1,-,89688529,십이월 이십오일의 고백,정승환,1,34255.0,6234.0,2541333,823626
2019/12/09/11,1,-,89688529,십이월 이십오일의 고백,정승환,1,28695.0,5192.0,2570028,828818
